name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean
Ele Não Desiste de Você,Marquinhos Gomes,spotify:track:344vyXHCBYXPGV4jO8Jo8X,Ele Não Desiste de Você - Marquinhos Gomes,False,,,,,,
Restitui - Ao Vivo,Trazendo a Arca,spotify:track:3i4qQdnaQFdyCs3Art3LzD,Restitui - Ao Vivo - Trazendo a Arca,False,,,,,,
Conquistando o Impossível,Jamily,spotify:track:2diKs21Dq3e6K2gfhMJLCO,Conquistando o Impossível - Jamily,False,,,,,,
"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo",Régis Danese,spotify:track:7AA38Hs4o0EHdCiogPAuw3,"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo - Régis Danese",False,,,,,,
Que Ele Cresça (Humildade) - Ao Vivo,Deigma Marques,spotify:track:2M1KjQKBnUQ38LU3fNTbqy,Que Ele Cresça (Humildade) - Ao Vivo - Deigma Marques,False,,,,,,
Sabor de Mel,Damares,spotify:track:50yPQZWDucOc6n1qdofN7T,Sabor de Mel - Damares,False,,,,,,
Ele Não Desiste de Você - Ao Vivo,Marquinhos Gomes,spotify:track:5fQYoR7st5kgsDw174m7UB,Ele Não Desiste de Você - Ao Vivo - Marquinhos Gomes,False,,,,,,
O Maior Troféu,Damares,spotify:track:1s6kINRA4Py3YlYtPWhFew,O Maior Troféu - Damares,False,,,,,,
Casa do Pai,Aline Barros,spotify:track:5Phlatr2avk8DRTA1ahxb6,Casa do Pai - Aline Barros,False,,,,,,
Me Ama - Ao Vivo,"Diante do Trono, Ana Paula Valadão",spotify:track:3WguVId9zbNufOTHgQiTOx,"Me Ama - Ao Vivo - Diante do Trono, Ana Paula Valadão",False,,,,,,
Tua Graça Me Basta,Trazendo a Arca,spotify:track:7IqLd3UXod118JSE1unCEZ,Tua Graça Me Basta - Trazendo a Arca,False,,,,,,
Com Muito Louvor,Cassiane,spotify:track:57JAYiwPmU93oowUWKwrEF,Com Muito Louvor - Cassiane,False,,,,,,
Te Louvarei - Ao Vivo,Trazendo a Arca,spotify:track:4AgLJxOkacISI93JYPNUtp,Te Louvarei - Ao Vivo - Trazendo a Arca,False,,,,,,
Preciso de Ti - Ao Vivo,Diante do Trono,spotify:track:57WRcTAI6bJ64A0IzdF4r6,Preciso de Ti - Ao Vivo - Diante do Trono,False,,,,,,
Não Morrerei - Ao Vivo,Marquinhos Gomes,spotify:track:7tztN3e5IFxhOYV7KQgsuu,Não Morrerei - Ao Vivo - Marquinhos Gomes,False,,,,,,
Olha pra Mim,Toque no Altar,spotify:track:1zw6Xhftd6MUSYPhcEUw1T,Olha pra Mim - Toque no Altar,False,,,,,,
No Silêncio,Rose Nascimento,spotify:track:1pgHsf1WqOR7aCiqL3XYO7,No Silêncio - Rose Nascimento,False,,,,,,
Alive & Breathing (feat. Elle Limebear),"Matt Maher, Elle Limebear",spotify:track:1nmspIOQLdmBhGfT747dEJ,"Alive & Breathing (feat. Elle Limebear) - Matt Maher, Elle Limebear",False,,,,,,
You Say,Lauren Daigle,spotify:track:6Up545NUflOiXo8cEraH49,You Say - Lauren Daigle,False,,,,,,
Milagre - Ao Vivo,André Valadão,spotify:track:1wQshFMkDxr8Jz1McOZOJR,Milagre - Ao Vivo - André Valadão,False,,,,,,
Way Maker - Single Version,Leeland,spotify:track:0H4BGX7L8UfoD0g4wgXd0D,Way Maker - Single Version - Leeland,False,,,,,,
Raise a Hallelujah - Studio Version,"Bethel Music, Jonathan David Helser, Melissa Helser",spotify:track:4LnHfZGEitmIVS17wndaUI,"Raise a Hallelujah - Studio Version - Bethel Music, Jonathan David Helser, Melissa Helser",False,,,,,,
Nobody (feat. Matthew West),"Casting Crowns, Matthew West",spotify:track:0W7KIc2GSB9suYQAaMZ9rF,"Nobody (feat. Matthew West) - Casting Crowns, Matthew West",False,,,,,,
Be Alright,"Evan Craft, Danny Gokey, Redimi2",spotify:track:7ds1OKySMhLxxf7z6KxFQs,"Be Alright - Evan Craft, Danny Gokey, Redimi2",False,,,,,,
Uma Nova História - Ao Vivo,Fernandinho,spotify:track:2dV76Kw7RcwCAlSfSLLdbi,Uma Nova História - Ao Vivo - Fernandinho,False,,,,,,
Scars,I AM THEY,spotify:track:7reASFw2ZMgqahFJc6CMgl,Scars - I AM THEY,False,,,,,,
O Come to the Altar (Live),Elevation Worship,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live) - Elevation Worship,False,,,,,,
Known,Tauren Wells,spotify:track:1hrF6s6kfXuPv14OrD9v6X,Known - Tauren Wells,False,,,,,,
God's Not Done with You,Tauren Wells,spotify:track:5R6kMqnnpfA3ebbvAgbxBv,God's Not Done with You - Tauren Wells,False,,,,,,
Good Good Father,Chris Tomlin,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,Good Good Father - Chris Tomlin,False,,,,,,
Our God,Chris Tomlin,spotify:track:40lKptao1hxVqA7fd1OOGp,Our God - Chris Tomlin,False,,,,,,
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,spotify:track:2VuwpxQR7rTPWkoLkpANdz,Whom Shall I Fear (God Of Angel Armies) - Chris Tomlin,False,,,,,,
