name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean,rms_scaled
Way Maker - Single Version,Leeland,spotify:track:0H4BGX7L8UfoD0g4wgXd0D,Way Maker - Single Version - Leeland,False,,,,,,,0.0
Raise a Hallelujah - Studio Version,"Bethel Music, Jonathan David Helser, Melissa Helser",spotify:track:4LnHfZGEitmIVS17wndaUI,"Raise a Hallelujah - Studio Version - Bethel Music, Jonathan David Helser, Melissa Helser",False,,,,,,,0.0
Nobody (feat. Matthew West),"Casting Crowns, Matthew West",spotify:track:0W7KIc2GSB9suYQAaMZ9rF,"Nobody (feat. Matthew West) - Casting Crowns, Matthew West",False,,,,,,,0.0
Be Alright,"Evan Craft, Danny Gokey, Redimi2",spotify:track:7ds1OKySMhLxxf7z6KxFQs,"Be Alright - Evan Craft, Danny Gokey, Redimi2",False,,,,,,,0.0
Uma Nova História - Ao Vivo,Fernandinho,spotify:track:2dV76Kw7RcwCAlSfSLLdbi,Uma Nova História - Ao Vivo - Fernandinho,False,,,,,,,0.0
Scars,I AM THEY,spotify:track:7reASFw2ZMgqahFJc6CMgl,Scars - I AM THEY,False,,,,,,,0.0
O Come to the Altar (Live),Elevation Worship,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live) - Elevation Worship,False,,,,,,,0.0
Known,Tauren Wells,spotify:track:1hrF6s6kfXuPv14OrD9v6X,Known - Tauren Wells,False,,,,,,,0.0
God's Not Done with You,Tauren Wells,spotify:track:5R6kMqnnpfA3ebbvAgbxBv,God's Not Done with You - Tauren Wells,False,,,,,,,0.0
Good Good Father,Chris Tomlin,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,Good Good Father - Chris Tomlin,False,,,,,,,0.0
Our God,Chris Tomlin,spotify:track:40lKptao1hxVqA7fd1OOGp,Our God - Chris Tomlin,False,,,,,,,0.0
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,spotify:track:2VuwpxQR7rTPWkoLkpANdz,Whom Shall I Fear (God Of Angel Armies) - Chris Tomlin,False,,,,,,,0.0
